group,phrase,head_word,mechanism,diff_pull,phrase_pull,head_pull,pull_amplification,diff_target_sim,diff_neutral_sim
candidate,bow deeply,bow,Type E metonymic: 身体前傾 → 敬意,0.25934159094880965,0.24136099159630445,0.022581837687606743,0.2187791539086977,0.1607001599554649,-0.09864143099334473
candidate,shake hands,shake,Type E metonymic: 手の接触 → 合意/信頼,0.05094299108385893,0.027782788314803297,-0.024439694630397746,0.05222248294520104,0.01698139631021064,-0.03396159477364828
candidate,raise a glass,glass,Type E metonymic: グラス挙上 → 祝福,0.23378098256201046,0.10289247774978055,-0.14115007220400833,0.24404254995378888,0.04985508740079499,-0.18392589516121546
candidate,tip your hat,hat,Type E metonymic: 帽子操作 → 敬意,0.16588839466115785,0.15694061903814274,-0.015729308746684323,0.17266992778482707,0.08872637515747894,-0.07716201950367889
candidate,kneel before,kneel,Type E metonymic: 膝つき → 服従/敬意,0.13730721896314474,0.2541440389996561,0.1654088723403414,0.08873516665931469,0.07178166645856328,-0.06552555250458146
candidate,stand in silence,silence,Type E metonymic: 静止 → 追悼,0.12099245570989663,0.15047847011594448,0.05896895482966702,0.09150951528627746,-0.0715721269362536,-0.19256458264615023
candidate,clasp hands in prayer,prayer,Type E metonymic: 合掌 → 祈り/敬意,0.07783300136015064,0.1529276159378323,0.08022957233842509,0.07269804359940721,-0.1416945625947549,-0.21952756395490555
candidate,salute,salute,Type E metonymic: 挙手 → 敬意/忠誠,0.036538438367800984,0.24768997255335096,0.24764080074740025,4.917180595070958e-05,0.055570604389128656,0.019032166021327672
control,bend forward,bend,literal: physical movement,0.049221755320257514,0.03860571570262081,-0.0009732874230268806,0.03957900312564769,-0.05990451604217014,-0.10912627136242765
control,shake vigorously,shake,literal: physical action,0.03068443033116454,0.0004442498527899297,-0.024439694630397746,0.024883944483187675,-0.07474304666831773,-0.10542747699948227
control,raise a flag,flag,literal: lifting object,0.09442449848028586,0.04970654405537711,-0.02805872405604698,0.07776526811142409,-0.041965119398533875,-0.13638961787881973
control,tip the bucket,bucket,literal: tilting container,0.0676319091526975,-0.029365873113684854,-0.09532392586830507,0.06595805275462022,0.011998984526284727,-0.055632924626412776
control,kneel to tie shoes,kneel,literal: practical action,-0.09820737609550245,0.08564941190371575,0.1654088723403414,-0.07975946043662566,-0.2106583111095538,-0.11245093501405135
control,stand in line,line,literal: queuing,0.13653795673986652,0.029222225303323524,-0.11180602445718102,0.14102824976050454,0.022138382464547898,-0.11439957427531863
control,clasp a necklace,necklace,literal: fastening,0.053802511815547197,0.008327183156555756,-0.03761464199653464,0.04594182515309039,-0.12377441638755761,-0.1775769282031048
control,wave goodbye,wave,literal/conventional: farewell,0.06637558022755477,0.011870131008626439,-0.059456212079415593,0.07132634308804203,-0.035348656165174915,-0.10172423639272969
